x,y,r,g,b
0.14285714285714285,0.14285714285714285,194.0,37.0,56.0
0.14858475829462853,0.14858475829462853,195.0,39.0,60.0
0.16493449690708764,0.16493449690708764,198.0,46.0,67.0
0.19065669714452335,0.19065669714452335,204.0,59.0,76.0
0.22450169745693874,0.22450169745693874,209.0,76.0,81.0
0.265219836294337,0.265219836294337,216.0,93.0,77.0
0.3115614521067211,0.3115614521067211,222.0,114.0,68.0
0.3622768833440943,0.3622768833440943,229.0,143.0,70.0
0.4161164684564596,0.4161164684564596,233.0,171.0,60.0
0.4718305458938203,0.4718305458938203,237.0,195.0,47.0
0.5281694541061795,0.5281694541061795,236.0,209.0,66.0
0.5838835315435402,0.5838835315435402,216.0,211.0,111.0
0.6377231166559056,0.6377231166559056,173.0,207.0,123.0
0.6884385478932789,0.6884385478932789,113.0,199.0,138.0
0.734780163705663,0.734780163705663,81.0,184.0,155.0
0.7754983025430613,0.7754983025430613,85.0,166.0,170.0
0.8093433028554765,0.8093433028554765,90.0,150.0,178.0
0.8350655030929123,0.8350655030929123,98.0,135.0,179.0
0.8514152417053715,0.8514152417053715,103.0,126.0,180.0
0.8571428571428571,0.8571428571428571,103.0,122.0,180.0
